cell,latitude,longitude,route_name,waypoint_id
2,59.10633076,5.24267426,Cruise_Haugesund_Skudefjorden_Out_20210212,10
3,59.10633076,5.24267426,Cruise_Haugesund_Skudefjorden_Out_20210212,10
4,59.10633076,5.24267426,Cruise_Haugesund_Skudefjorden_Out_20210212,10
5,59.10633076,5.24267426,Cruise_Haugesund_Skudefjorden_Out_20210212,10
4,59.10741116,5.46458765,Cruise_Haugesund_Skudefjorden_Out_20210212,11
0,59.10741116,5.46458765,Cruise_Haugesund_Skudefjorden_Out_20210212,11
1,59.10741116,5.46458765,Cruise_Haugesund_Skudefjorden_Out_20210212,11
2,59.10741116,5.46458765,Cruise_Haugesund_Skudefjorden_Out_20210212,11
3,59.10741116,5.46458765,Cruise_Haugesund_Skudefjorden_Out_20210212,11
5,59.10741116,5.46458765,Cruise_Haugesund_Skudefjorden_Out_20210212,11
6,59.10741116,5.46458765,Cruise_Haugesund_Skudefjorden_Out_20210212,11
7,59.10741116,5.46458765,Cruise_Haugesund_Skudefjorden_Out_20210212,11
8,59.10741116,5.46458765,Cruise_Haugesund_Skudefjorden_Out_20210212,11
4,59.07455409,5.34576314,Cruise_Stavanger_Skudefjorden_In_20210212,1
0,59.07455409,5.34576314,Cruise_Stavanger_Skudefjorden_In_20210212,1
1,59.07455409,5.34576314,Cruise_Stavanger_Skudefjorden_In_20210212,1
2,59.07455409,5.34576314,Cruise_Stavanger_Skudefjorden_In_20210212,1
3,59.07455409,5.34576314,Cruise_Stavanger_Skudefjorden_In_20210212,1
5,59.07455409,5.34576314,Cruise_Stavanger_Skudefjorden_In_20210212,1
6,59.07455409,5.34576314,Cruise_Stavanger_Skudefjorden_In_20210212,1
7,59.07455409,5.34576314,Cruise_Stavanger_Skudefjorden_In_20210212,1
8,59.07455409,5.34576314,Cruise_Stavanger_Skudefjorden_In_20210212,1
4,59.10743148,5.46457765,Cruise_Stavanger_Skudefjorden_In_20210212,2
0,59.10743148,5.46457765,Cruise_Stavanger_Skudefjorden_In_20210212,2
1,59.10743148,5.46457765,Cruise_Stavanger_Skudefjorden_In_20210212,2
2,59.10743148,5.46457765,Cruise_Stavanger_Skudefjorden_In_20210212,2
3,59.10743148,5.46457765,Cruise_Stavanger_Skudefjorden_In_20210212,2
5,59.10743148,5.46457765,Cruise_Stavanger_Skudefjorden_In_20210212,2
6,59.10743148,5.46457765,Cruise_Stavanger_Skudefjorden_In_20210212,2
7,59.10743148,5.46457765,Cruise_Stavanger_Skudefjorden_In_20210212,2
